website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187323-d20080413-Private_Tour_Exploring_Berlin_Sights_by_Car_with_photo_stops-Berlin.html,Private Tour: Exploring Berlin Sights by Car with photo stops,,,Bus Tours,6 hours,"Sightseeing tour of Berlin with photo stops. You will see the Bundestag building, the Brandenburg Gate, the Charlottenburg…",$710,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19531132-Potsdam_City_of_Kings_Private_Walking_Tour-Berlin.html,"Potsdam, City of Kings: Private Walking Tour",,,Historical Tours,6 hours,Potsdam was a city of kings – a German Versaille where the Hohenzollern monarchy of Prussia constructed lavish palaces in…,$291,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187364-d19985133-Private_Shore_Excursion_All_Highlights_of_Berlin_private_round_trip_transfer-Warne.html,Private Shore Excursion: All-Highlights of Berlin (private round-trip transfer),,,Full-day Tours,6+ hours,"Sightseeing tour of Berlin with photo stops (6 hours) with a private round-trip transfer (about 6 hours, Warnemunde). You…","$1,162",per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25183478-Berlin_Private_Tour_to_Sachsenhausen_Concentration_Camp-Berlin.html,Berlin Private Tour to Sachsenhausen Concentration Camp,,,Historical Tours,6 hours,"Join a specially trained and licensed guide on the train out of Berlin to the town of Oranienburg, home to the former concentration…",$658,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d23653613-Berlin_s_Shadows_A_Walking_Ghost_Tour-Berlin.html,Berlin’s Shadows: A Walking Ghost Tour,,,Walking Tours,2 hours,Dare to explore the darker side of Berlin with “Berlin’s Shadows: A Ghostly Encounter”. This spine-tingling two-hour walking…,$194,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d15343046-1_way_private_transfer_Berlin_to_Karlovy_Vary_Mercedes_Benz_up_to_7_persons-Berlin.html,1-way private transfer Berlin to Karlovy Vary - Mercedes Benz - up to 7 persons,,,Transportation Services,4–5 hours,Private door to door transportation between Karlovy Vary (Czechia) and Berlin (Germany) provided by comfortable Mercedes…,"$1,162",per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26608813-City_tour_with_VR_glasses_through_the_history_of_Berlin-Berlin.html,City tour with VR glasses through the history of Berlin,,,Historical Tours,1–2 hours,This walking tour is an emotional virtual reality city tour through the dramatic history of Berlin in the 20th century. …,$33,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26455692-Berlin_flight_simulator_experience-Berlin.html,Berlin flight simulator experience,,,Fun & Games,30 minutes,Slip into the role of a pilot of an Airbus A 320 in JetSim Flight Simulator for a day and experience the dream of flying…,$98,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d24142569-One_Way_Private_Transfer_from_Berlin_to_Frankfurt-Berlin.html,One Way Private Transfer from Berlin to Frankfurt,,,Transportation Services,6 hours,"Our professional drivers will take care of you and your group.Whatever be your Pick up location in Berlin ,Our chauffeur…","$1,527",per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d14081074-Berlin_Private_Transfer_from_Berlin_city_centre_to_Berlin_Brandenburg_Airport-Berl.html,Berlin Private Transfer from Berlin city centre to Berlin Brandenburg Airport,,,Transportation Services,50 minutes,Take the worry out for your departure to Berlin Brandenburg Airport and pre-book a private transfer to suit your group size…,$133,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d24005513-Berlin_Wall_East_and_West_Berlin_Private_Walking_Tour-Berlin.html,Berlin Wall - East and West Berlin Private Walking Tour,,,City Tours,2–4 hours,Relive the events of the rise and fall of the Berlin Wall. Follow the historic route along the “Iron Curtain” with a History…,$170,per adult,berlin
